item_id,genre,blind,cue_stratum,dominant,n_votes,agreement,subordinate_majority,tie
legal-047,legal,1,,SYN,9,1.0,0,0
legal-048,legal,1,,SYN,9,1.0,0,0
legal-049,legal,1,,NONE,9,0.667,0,0
legal-050,legal,1,,SYN,9,1.0,0,0
legal-051,legal,1,,SYN,9,1.0,0,0
legal-052,legal,1,,SYN,9,1.0,0,0
legal-053,legal,1,,SYN,9,1.0,0,0
legal-054,legal,1,,SYN,9,1.0,0,0
legal-055,legal,1,,SYN,9,1.0,0,0
legal-056,legal,1,,SYN,9,0.889,0,0
legal-057,legal,1,,SYN,9,1.0,0,0
legal-058,legal,1,,SYN,9,1.0,0,0
legal-059,legal,1,,SYN,9,1.0,0,0
legal-060,legal,1,,SYN,9,1.0,0,0
legal-061,legal,1,,SYN,9,0.889,0,0
legal-062,legal,1,,SYN,9,1.0,0,0
legal-063,legal,1,,SYN,9,0.778,1,0
legal-064,legal,1,,SYN,9,1.0,0,0
legal-065,legal,1,,SYN,9,1.0,0,0
legal-066,legal,1,,SYN,9,0.667,0,0
legal-067,legal,1,,NONE,9,1.0,0,0
legal-068,legal,1,,SYN,9,0.778,0,0
legal-069,legal,1,,SYN,9,1.0,0,0
legal-070,legal,1,,SYN,9,1.0,0,0
legal-071,legal,1,,SYN,9,1.0,0,0
legal-072,legal,1,,SYN,9,1.0,0,0
legal-073,legal,1,,SYN,9,1.0,0,0
legal-074,legal,1,,NONE,9,0.889,0,0
legal-075,legal,1,,PAR,9,0.667,0,0
legal-076,legal,1,,SYN,9,1.0,0,0
legal-077,legal,1,,SYN,9,1.0,0,0
legal-078,legal,1,,SYN,9,1.0,0,0
legal-079,legal,1,,SYN,9,1.0,0,0
legal-080,legal,1,,SYN,9,1.0,0,0
legal-081,legal,1,,SYN,9,1.0,0,0
legal-082,legal,1,,SYN,9,1.0,0,0
legal-083,legal,1,,SYN,9,1.0,0,0
legal-084,legal,1,,SYN,9,1.0,0,0
legal-085,legal,1,,SYN,9,1.0,0,0
legal-086,legal,1,,SYN,9,1.0,0,0
legal-087,legal,1,,SYN,9,1.0,0,0
legal-088,legal,1,,SYN,9,1.0,0,0
legal-089,legal,1,,NONE,9,0.667,0,0
legal-090,legal,1,,SYN,9,0.667,0,0
legal-091,legal,1,,SYN,9,0.889,0,0
legal-092,legal,1,,SYN,9,1.0,0,0
legal-093,legal,1,,SYN,9,1.0,0,0
legal-094,legal,1,,SYN,9,1.0,0,0
legal-095,legal,1,,SYN,9,1.0,0,0
legal-096,legal,1,,SYN,9,0.556,0,0
legal-097,legal,1,,SYN,9,1.0,0,0
legal-098,legal,1,,SYN,9,1.0,0,0
legal-099,legal,1,,SYN,9,1.0,0,0
legal-100,legal,1,,SYN,9,1.0,0,0
legal-101,legal,1,,SYN,9,1.0,0,0
legal-102,legal,1,,SYN,9,1.0,0,0
legal-103,legal,1,,SYN,9,1.0,0,0
legal-104,legal,1,,SYN,9,0.556,0,0
legal-105,legal,1,,SYN,9,1.0,0,0
legal-106,legal,1,,SYN,9,1.0,0,0
legal-107,legal,1,,SYN,9,0.667,0,0
legal-108,legal,1,,SYN,9,1.0,0,0
legal-109,legal,1,,SYN,9,0.889,1,0
legal-110,legal,1,,SYN,9,1.0,0,0
legal-111,legal,1,,SYN,9,1.0,0,0
legal-112,legal,1,,PAR,9,0.556,0,0
legal-113,legal,1,,SYN,9,1.0,0,0
legal-114,legal,1,,SYN,9,0.889,0,0
legal-115,legal,1,,SYN,9,1.0,0,0
legal-116,legal,1,,SYN,9,1.0,0,0
legal-117,legal,1,,PAR,9,0.667,0,0
legal-118,legal,1,,SYN,9,0.889,0,0
legal-119,legal,1,,PAR,9,0.778,0,0
legal-120,legal,1,,SYN,9,1.0,0,0
legal-121,legal,1,,NONE,9,0.778,0,0
legal-122,legal,1,,SYN,9,0.667,0,0
legal-123,legal,1,,SYN,9,1.0,0,0
legal-124,legal,1,,SYN,9,1.0,0,0
legal-125,legal,1,,SYN,9,1.0,0,0
legal-126,legal,1,,SYN,9,1.0,0,0
legal-127,legal,1,,SYN,9,0.889,0,0
legal-128,legal,1,,SYN,9,1.0,0,0
legal-129,legal,1,,SYN,9,1.0,0,0
legal-130,legal,1,,SYN,9,1.0,1,0
legal-131,legal,1,,PAR,9,0.778,0,0
legal-132,legal,1,,SYN,9,0.778,0,0
legal-133,legal,1,,NONE,9,0.889,0,0
legal-134,legal,1,,SYN,9,1.0,0,0
legal-135,legal,1,,NONE,9,0.667,0,0
legal-136,legal,1,,PAR,9,0.444,1,1
legal-137,legal,1,,MER,9,0.556,0,0
legal-138,legal,1,,NONE,9,0.667,0,0
legal-139,legal,1,,SYN,9,1.0,0,0
legal-140,legal,1,,NONE,9,0.556,0,0
legal-141,legal,1,,SYN,9,0.889,0,0
legal-142,legal,1,,PAR,9,0.778,0,0
legal-143,legal,1,,SYN,9,1.0,0,0
legal-144,legal,1,,SYN,9,1.0,0,0
legal-145,legal,1,,SYN,9,1.0,0,0
legal-146,legal,1,,SYN,9,0.778,0,0
legal-147,legal,1,,SYN,9,1.0,0,0
legal-148,legal,1,,SYN,9,1.0,0,0
legal-149,legal,1,,PAR,9,0.667,0,0
legal-150,legal,1,,SYN,9,1.0,0,0
legal-151,legal,1,,SYN,9,1.0,0,0
legal-152,legal,1,,SYN,9,1.0,0,0
legal-153,legal,1,,SYN,9,1.0,0,0
legal-154,legal,1,,SYN,9,1.0,0,0
legal-155,legal,1,,SYN,9,1.0,0,0
legal-156,legal,1,,SYN,9,0.667,0,0
legal-157,legal,1,,SYN,9,0.889,0,0
legal-158,legal,1,,SYN,9,1.0,0,0
legal-159,legal,1,,SYN,9,1.0,0,0
legal-160,legal,1,,SYN,9,1.0,0,0
legal-161,legal,1,,MER,9,0.444,0,1
legal-162,legal,1,,SYN,9,0.889,0,0
legal-163,legal,1,,PAR,9,0.667,0,0
legal-164,legal,1,,SYN,9,0.889,0,0
legal-165,legal,1,,NONE,9,0.444,0,0
legal-166,legal,1,,SYN,9,1.0,0,0
legal-167,legal,1,,SYN,9,1.0,0,0
legal-168,legal,1,,NONE,9,1.0,0,0
legal-169,legal,1,,SYN,9,0.778,0,0
legal-170,legal,1,,PAR,9,1.0,0,0
legal-171,legal,1,,SYN,9,1.0,0,0
legal-172,legal,1,,SYN,9,0.667,0,0
legal-173,legal,1,,SYN,9,1.0,0,0
legal-174,legal,1,,SYN,9,1.0,0,0
legal-175,legal,1,,SYN,9,0.889,0,0
legal-176,legal,1,,SYN,9,1.0,0,0
legal-177,legal,1,,SYN,9,0.667,0,0
legal-178,legal,1,,SYN,9,1.0,0,0
legal-179,legal,1,,SYN,9,0.889,0,0
legal-180,legal,1,,SYN,9,1.0,0,0
legal-181,legal,1,,SYN,9,1.0,0,0
legal-182,legal,1,,SYN,9,1.0,0,0
legal-183,legal,1,,SYN,9,0.556,0,0
legal-184,legal,1,,SYN,9,0.889,0,0
legal-185,legal,1,,SYN,9,1.0,0,0
legal-186,legal,1,,SYN,9,1.0,0,0
legal-187,legal,1,,SYN,9,1.0,0,0
legal-188,legal,1,,SYN,9,1.0,0,0
legal-189,legal,1,,SYN,9,0.778,0,0
legal-190,legal,1,,SYN,9,1.0,0,0
legal-191,legal,1,,SYN,9,1.0,0,0
legal-192,legal,1,,SYN,9,1.0,0,0
legal-193,legal,1,,SYN,9,1.0,1,0
legal-194,legal,1,,SYN,9,0.444,0,0
legal-195,legal,1,,SYN,9,1.0,0,0
legal-196,legal,1,,SYN,9,1.0,0,0
legal-197,legal,1,,SYN,9,0.556,0,0
legal-198,legal,1,,SYN,9,1.0,0,0
legal-199,legal,1,,PAR,9,0.889,0,0
legal-200,legal,1,,SYN,9,0.778,0,0
legal-201,legal,1,,SYN,9,1.0,0,0
legal-202,legal,1,,SYN,9,1.0,0,0
legal-203,legal,1,,NONE,9,0.556,0,0
legal-204,legal,1,,SYN,9,1.0,0,0
legal-205,legal,1,,SYN,9,1.0,0,0
legal-206,legal,1,,SYN,9,1.0,0,0
legal-207,legal,1,,NONE,9,0.667,0,0
legal-208,legal,1,,SYN,9,1.0,0,0
legal-209,legal,1,,SYN,9,1.0,0,0
legal-210,legal,1,,SYN,9,1.0,0,0
legal-211,legal,1,,SYN,9,1.0,0,0
legal-212,legal,1,,SYN,9,1.0,0,0
legal-213,legal,1,,NONE,9,0.667,0,0
legal-214,legal,1,,SYN,9,1.0,0,0
legal-215,legal,1,,SYN,9,1.0,0,0
legal-216,legal,1,,NONE,9,0.778,0,0
legal-217,legal,1,,SYN,9,0.556,0,0
legal-218,legal,1,,SYN,9,1.0,0,0
legal-219,legal,1,,SYN,9,0.778,0,0
legal-220,legal,1,,SYN,9,1.0,0,0
legal-221,legal,1,,PAR,9,0.889,0,0
legal-222,legal,1,,SYN,9,1.0,0,0
legal-223,legal,1,,NONE,9,1.0,0,0
legal-224,legal,1,,SYN,9,0.889,0,0
legal-225,legal,1,,SYN,9,1.0,0,0
legal-226,legal,1,,SYN,9,1.0,0,0
legal-227,legal,1,,SYN,9,1.0,0,0
legal-228,legal,1,,SYN,9,1.0,0,0
legal-229,legal,1,,SYN,9,1.0,0,0
legal-230,legal,1,,SYN,9,0.889,0,0
legal-231,legal,1,,MER,9,1.0,1,0
legal-232,legal,1,,SYN,9,1.0,0,0
legal-233,legal,1,,SYN,9,1.0,0,0
legal-234,legal,1,,SYN,9,1.0,0,0
legal-235,legal,1,,NONE,9,1.0,0,0
legal-236,legal,1,,SYN,9,1.0,0,0
legal-237,legal,1,,SYN,9,1.0,0,0
legal-238,legal,1,,SYN,9,1.0,0,0
legal-239,legal,1,,SYN,9,1.0,0,0
legal-240,legal,1,,SYN,9,1.0,0,0
legal-241,legal,1,,SYN,9,1.0,0,0
legal-242,legal,1,,NONE,9,0.778,0,0
legal-243,legal,1,,SYN,9,1.0,0,0
legal-244,legal,1,,SYN,9,1.0,0,0
legal-245,legal,1,,SYN,9,1.0,0,0
legal-246,legal,1,,PAR,9,0.889,0,0
legal-247,legal,1,,SYN,9,1.0,0,0
legal-248,legal,1,,MER,9,1.0,1,0
legal-249,legal,1,,SYN,9,1.0,0,0
legal-250,legal,1,,SYN,9,0.778,0,0
legal-251,legal,1,,SYN,9,1.0,0,0
legal-252,legal,1,,SYN,9,1.0,0,0
legal-253,legal,1,,NONE,9,1.0,0,0
legal-254,legal,1,,SYN,9,0.778,0,0
legal-255,legal,1,,SYN,9,1.0,0,0
legal-256,legal,1,,SYN,9,0.889,0,0
legal-257,legal,1,,NONE,9,0.778,0,0
legal-258,legal,1,,SYN,9,1.0,0,0
legal-259,legal,1,,SYN,9,1.0,0,0
legal-260,legal,1,,SYN,9,0.667,0,0
legal-261,legal,1,,SYN,9,1.0,0,0
legal-262,legal,1,,SYN,9,0.889,0,0
legal-263,legal,1,,NONE,9,0.889,0,0
legal-264,legal,1,,SYN,9,0.778,0,0
legal-265,legal,1,,SYN,9,1.0,0,0
legal-266,legal,1,,PAR,9,0.667,0,0
legal-267,legal,1,,SYN,9,1.0,0,0
legal-268,legal,1,,PAR,9,0.889,0,0
legal-269,legal,1,,SYN,9,0.778,0,0
legal-270,legal,1,,SYN,9,0.889,0,0
legal-271,legal,1,,SYN,9,1.0,0,0
legal-272,legal,1,,SYN,9,1.0,0,0
legal-273,legal,1,,SYN,9,1.0,0,0
legal-274,legal,1,,SYN,9,0.778,0,0
legal-275,legal,1,,SYN,9,1.0,0,0
legal-276,legal,1,,SYN,9,0.556,0,0
legal-277,legal,1,,SYN,9,1.0,0,0
legal-278,legal,1,,SYN,9,1.0,0,0
legal-279,legal,1,,SYN,9,1.0,0,0
legal-280,legal,1,,SYN,9,1.0,0,0
legal-281,legal,1,,SYN,9,0.778,0,0
legal-282,legal,1,,SYN,9,1.0,0,0
legal-283,legal,1,,SYN,9,1.0,0,0
legal-284,legal,1,,SYN,9,1.0,0,0
legal-285,legal,1,,SYN,9,0.889,0,0
legal-286,legal,1,,SYN,9,1.0,0,0
legal-287,legal,1,,SYN,9,0.556,0,0
legal-288,legal,1,,SYN,9,1.0,0,0
legal-289,legal,1,,SYN,9,1.0,0,0
legal-290,legal,1,,SYN,9,0.667,1,0
legal-291,legal,1,,SYN,9,1.0,0,0
legal-292,legal,1,,SYN,9,1.0,0,0
legal-293,legal,1,,SYN,9,0.778,0,0
legal-294,legal,1,,PAR,9,0.556,0,0
legal-295,legal,1,,SYN,9,0.778,0,0
legal-296,legal,1,,NONE,9,0.556,0,0
legal-297,legal,1,,SYN,9,1.0,0,0
legal-298,legal,1,,SYN,9,0.889,1,0
legal-299,legal,1,,SYN,9,1.0,0,0
legal-300,legal,1,,SYN,9,0.889,0,0
legal-301,legal,1,,NONE,9,0.778,0,0
legal-302,legal,1,,SYN,9,1.0,0,0
legal-303,legal,1,,SYN,9,0.778,0,0
legal-304,legal,1,,SYN,9,1.0,0,0
legal-305,legal,1,,SYN,9,1.0,0,0
legal-306,legal,1,,SYN,9,0.889,0,0
legal-307,legal,1,,NONE,9,0.667,0,0
legal-308,legal,1,,SYN,9,1.0,0,0
legal-309,legal,1,,SYN,9,1.0,0,0
legal-310,legal,1,,SYN,9,1.0,0,0
legal-311,legal,1,,SYN,9,1.0,0,0
legal-312,legal,1,,SYN,9,1.0,0,0
legal-313,legal,1,,SYN,9,1.0,0,0
legal-314,legal,1,,SYN,9,1.0,0,0
legal-315,legal,1,,SYN,9,1.0,0,0
legal-316,legal,1,,SYN,9,1.0,0,0
legal-317,legal,1,,SYN,9,0.889,0,0
legal-318,legal,1,,SYN,9,0.889,0,0
legal-319,legal,1,,NONE,9,0.556,0,0
legal-320,legal,1,,SYN,9,1.0,0,0
legal-321,legal,1,,SYN,9,1.0,0,0
legal-322,legal,1,,SYN,9,1.0,0,0
legal-323,legal,1,,SYN,9,1.0,0,0
legal-324,legal,1,,SYN,9,1.0,0,0
legal-325,legal,1,,SYN,9,1.0,0,0
legal-326,legal,1,,SYN,9,1.0,0,0
legal-327,legal,1,,SYN,9,1.0,0,0
legal-328,legal,1,,SYN,9,1.0,0,0
legal-329,legal,1,,SYN,9,1.0,0,0
legal-330,legal,1,,NONE,9,0.667,0,0
legal-331,legal,1,,SYN,9,1.0,0,0
legal-332,legal,1,,SYN,9,0.667,0,0
legal-333,legal,1,,SYN,9,1.0,0,0
legal-334,legal,1,,SYN,9,1.0,0,0
legal-335,legal,1,,SYN,9,1.0,0,0
legal-336,legal,1,,SYN,9,0.889,0,0
legal-337,legal,1,,MER,9,0.556,0,0
legal-338,legal,1,,SYN,9,1.0,0,0
legal-339,legal,1,,SYN,9,1.0,0,0
legal-340,legal,1,,SYN,9,1.0,0,0
legal-341,legal,1,,SYN,9,0.889,0,0
legal-342,legal,1,,NONE,9,0.556,0,0
legal-343,legal,1,,PAR,9,0.556,0,0
legal-344,legal,1,,NONE,9,0.778,0,0
legal-345,legal,1,,SYN,9,1.0,0,0
legal-346,legal,1,,SYN,9,0.889,0,0
legal-347,legal,1,,SYN,9,1.0,0,0
legal-348,legal,1,,NONE,9,0.556,0,0
legal-349,legal,1,,SYN,9,1.0,0,0
legal-350,legal,1,,SYN,9,1.0,0,0
legal-351,legal,1,,SYN,9,1.0,0,0
legal-352,legal,1,,SYN,9,1.0,0,0
legal-353,legal,1,,SYN,9,0.556,0,0
legal-354,legal,1,,SYN,9,0.667,0,0
legal-355,legal,1,,SYN,9,1.0,0,0
legal-356,legal,1,,SYN,9,1.0,0,0
legal-357,legal,1,,SYN,9,1.0,0,0
legal-358,legal,1,,SYN,9,0.889,0,0
legal-359,legal,1,,NONE,9,0.556,0,0
legal-360,legal,1,,SYN,9,0.667,0,0
legal-361,legal,1,,SYN,9,1.0,0,0
legal-362,legal,1,,SYN,9,1.0,0,0
legal-363,legal,1,,SYN,9,0.556,0,0
legal-364,legal,1,,SYN,9,1.0,0,0
legal-365,legal,1,,SYN,9,0.778,0,0
legal-366,legal,1,,NONE,9,1.0,0,0
legal-367,legal,1,,NONE,9,0.667,0,0
legal-368,legal,1,,NONE,9,0.778,0,0
legal-369,legal,1,,SYN,9,0.889,0,0
legal-370,legal,1,,SYN,9,1.0,0,0
legal-371,legal,1,,SYN,9,1.0,0,0
legal-372,legal,1,,SYN,9,1.0,0,0
legal-373,legal,1,,SYN,9,1.0,0,0
legal-374,legal,1,,SYN,9,0.556,0,0
legal-375,legal,1,,SYN,9,1.0,0,0
legal-376,legal,1,,SYN,9,1.0,0,0
legal-377,legal,1,,SYN,9,1.0,0,0
legal-378,legal,1,,SYN,9,1.0,0,0
legal-379,legal,1,,SYN,9,1.0,0,0
legal-380,legal,1,,SYN,9,0.889,0,0
legal-381,legal,1,,SYN,9,0.778,0,0
legal-382,legal,1,,SYN,9,1.0,0,0
legal-383,legal,1,,SYN,9,1.0,0,0
legal-384,legal,1,,SYN,9,0.889,0,0
legal-385,legal,1,,SYN,9,1.0,0,0
legal-386,legal,1,,SYN,9,0.889,0,0
legal-387,legal,1,,SYN,9,1.0,0,0
legal-388,legal,1,,SYN,9,1.0,0,0
legal-389,legal,1,,SYN,9,0.889,0,0
legal-390,legal,1,,SYN,9,0.889,0,0
legal-391,legal,1,,NONE,9,0.556,0,0
legal-392,legal,1,,SYN,9,0.889,0,0
legal-393,legal,1,,NONE,9,1.0,0,0
legal-394,legal,1,,NONE,9,1.0,0,0
legal-395,legal,1,,SYN,9,0.778,0,0
legal-396,legal,1,,SYN,9,1.0,0,0
legal-397,legal,1,,SYN,9,1.0,0,0
legal-398,legal,1,,SYN,9,1.0,0,0
legal-399,legal,1,,SYN,9,1.0,0,0
legal-400,legal,0,,SYN,9,1.0,0,0
legal-401,legal,0,,NONE,9,1.0,0,0
legal-402,legal,0,,SYN,9,1.0,0,0
legal-403,legal,0,,PAR,9,0.667,0,0
legal-404,legal,0,,PAR,9,0.778,0,0
legal-405,legal,0,,PAR,9,0.556,0,0
legal-406,legal,0,,SYN,9,0.444,0,0
legal-407,legal,0,,SYN,9,1.0,0,0
legal-408,legal,0,,PAR,9,0.667,0,0
legal-409,legal,0,,SYN,9,1.0,0,0
legal-410,legal,0,,SYN,9,1.0,0,0
legal-411,legal,0,,SYN,9,0.667,1,0
legal-412,legal,0,,SYN,9,0.889,0,0
legal-413,legal,0,,PAR,9,0.556,0,0
legal-414,legal,0,,SYN,9,0.556,0,0
legal-415,legal,0,,SYN,9,1.0,0,0
legal-416,legal,0,,SYN,9,1.0,0,0
legal-417,legal,0,,SYN,9,1.0,0,0
legal-418,legal,0,,SYN,9,1.0,0,0
legal-419,legal,0,,PAR,9,0.556,0,0
legal-420,legal,0,,SYN,9,1.0,0,0
legal-421,legal,0,,SYN,9,0.556,0,0
legal-422,legal,0,,PAR,9,0.778,0,0
legal-423,legal,0,,SYN,9,1.0,0,0
legal-424,legal,0,,MER,9,0.556,0,0
legal-425,legal,0,,SYN,9,1.0,0,0
legal-426,legal,0,,PAR,9,0.889,0,0
legal-427,legal,0,,SYN,9,1.0,0,0
legal-428,legal,0,,SYN,9,1.0,0,0
legal-429,legal,0,,SYN,9,0.667,1,0
legal-430,legal,0,,ANT,9,1.0,0,0
legal-431,legal,0,,NONE,9,1.0,0,0
legal-432,legal,0,,SYN,9,1.0,0,0
legal-433,legal,0,,PAR,9,0.556,0,0
legal-434,legal,0,,SYN,9,1.0,0,0
legal-435,legal,0,,SYN,9,1.0,0,0
legal-436,legal,0,,MER,9,0.444,0,1
legal-437,legal,0,,SYN,9,0.889,0,0
legal-438,legal,0,,MER,9,0.778,0,0
legal-439,legal,0,,SYN,9,0.556,0,0
math-000,math,1,,ANT,9,1.0,0,0
math-001,math,1,,MER,9,0.667,1,0
math-002,math,1,,MER,9,0.667,0,0
math-003,math,1,,SYN,9,1.0,0,0
math-004,math,1,,SYN,9,1.0,1,0
math-005,math,1,,MER,9,1.0,0,0
math-006,math,1,,SYN,9,1.0,0,0
math-007,math,1,,SYN,9,1.0,0,0
math-008,math,1,,ANT,9,1.0,1,0
math-009,math,1,,SYN,9,1.0,0,0
math-010,math,1,,SYN,9,1.0,0,0
